x,wave
-197.12,1.4782303265474336e-15 + 9.411279754944341e-17im
-197.10000000000002,1.4936982283333494e-15 + 8.623523887612492e-17im
-197.07999999999998,1.4825173866634337e-15 + 7.296198657985364e-17im
-197.06,1.479796447907498e-15 + 7.529391125759845e-17im
-197.04000000000002,1.4804517244245022e-15 + 6.664592956715469e-17im
-197.02,1.4921602681368799e-15 + 8.493206556625092e-17im
-197.0,1.4888167852365174e-15 + 6.195004767440783e-17im
-196.98000000000002,1.4824693260625705e-15 + 7.646258644125126e-17im
-196.95999999999998,1.4935995069944036e-15 + 7.349600810904535e-17im
-196.94,1.4813706003365548e-15 + 8.511573826341418e-17im
-196.92,1.5013574147968232e-15 + 5.3306211263210636e-17im
-196.89999999999998,1.4957355197202006e-15 + 7.245341205892328e-17im
-196.88,1.4965303648931147e-15 + 4.581364458082157e-17im
-196.86,1.4970213924194726e-15 + 7.197635240680171e-17im
-196.83999999999997,1.5015930417479137e-15 + 4.48682522492319e-17im
-196.82,1.5110159809689803e-15 + 4.262747391389631e-17im
-196.8,1.500590269472836e-15 + 2.8117822295386817e-17im
-196.77999999999997,1.4720415596192688e-15 + 4.004641441493953e-17im
-196.76,1.4819334042314795e-15 + 3.3369541183129484e-17im
-196.74,1.4883118973012715e-15 + 4.707792722941136e-17im
-196.72000000000003,1.5032042251634994e-15 + 2.7782700779060503e-17im
-196.7,1.5075411282324887e-15 + 3.128577627513936e-17im
-196.68,1.4957073795254543e-15 + 3.513507367174257e-17im
-196.66000000000003,1.5030243334118393e-15 + 4.137256565115879e-17im
-196.64,1.4896177323443575e-15 + 4.657166583458602e-17im
-196.62,1.4869368231202928e-15 + 2.5458799306989897e-17im
-196.60000000000002,1.4862724041853234e-15 + 2.4367146635698805e-17im
-196.58,1.4860471987519594e-15 + 2.149430954090947e-17im
-196.56,1.475441910036883e-15 + 2.850797524416418e-17im
-196.54,1.4786268894111002e-15 + 2.666120943629111e-17im
-196.51999999999998,1.484512991979379e-15 + 7.137060824171781e-18im
-196.5,1.4620552084066696e-15 - 2.7856079953987674e-17im
-196.48,1.4790259056300467e-15 - 1.8584192454514722e-17im
-196.45999999999998,1.4693262195458944e-15 - 8.773845893276907e-18im
-196.44,1.4793358461803774e-15 - 1.8592254976779945e-17im
-196.42000000000002,1.4641328228892712e-15 - 2.5776964888162204e-17im
-196.39999999999998,1.455144127552705e-15 - 1.8298685854949902e-17im
-196.38,1.4614570090954026e-15 - 1.3277862821844917e-17im
-196.36,1.4480199193221378e-15 - 1.2958511190176829e-17im
-196.34,1.4463358481890127e-15 - 1.9063666145324935e-17im
-196.32,1.4463826716278115e-15 - 3.91260261246857e-17im
-196.3,1.4531578743432103e-15 - 3.387140174086663e-17im
-196.28,1.4634917003450343e-15 - 3.35031808971134e-17im
-196.26,1.4635308282164176e-15 - 4.335121372139717e-17im
-196.24,1.4408239556918526e-15 - 3.952780367887472e-17im
-196.22000000000003,1.450539494225504e-15 - 3.5030171764688396e-17im
-196.20000000000002,1.4562212973024173e-15 - 2.881485303205457e-17im
-196.18,1.451670952324097e-15 - 3.23684175837686e-17im
-196.16,1.4385683995605054e-15 - 4.996882767666844e-17im
-196.14,1.4279510537575163e-15 - 8.745488933058851e-17im
-196.12,1.4584141985143144e-15 - 5.788146330194218e-17im
-196.1,1.4363146257812847e-15 - 6.846329573881585e-17im
-196.07999999999998,1.446210538350113e-15 - 6.368576639205025e-17im
-196.06,1.4335127472699685e-15 - 6.22023920400001e-17im
-196.04,1.4391441831726788e-15 - 5.342204318256844e-17im
-196.01999999999998,1.4439436380717034e-15 - 5.801262344958574e-17im
-196.0,1.4597835481996407e-15 - 6.14689816616613e-17im
-195.98000000000002,1.4545889982563476e-15 - 6.246997813737788e-17im
-195.95999999999998,1.4462048138544604e-15 - 7.007725490572764e-17im
-195.94,1.4525976286478082e-15 - 6.219891514280089e-17im
-195.92000000000002,1.4570638675746177e-15 - 5.310361680134237e-17im
-195.9,1.455340542757018e-15 - 5.246281796370481e-17im
-195.88,1.4378118015673357e-15 - 5.651151731498546e-17im
-195.86,1.4541826010027136e-15 - 7.231578564260991e-17im
-195.84,1.4380255789782433e-15 - 6.601420893038371e-17im
-195.82,1.4542742977773973e-15 - 6.159872510147511e-17im
-195.8,1.4484555681194906e-15 - 6.050389564962958e-17im
-195.78,1.4570809781550297e-15 - 6.144184797164519e-17im
-195.76,1.4513771368182966e-15 - 7.387489161228327e-17im
-195.74,1.4659185510001384e-15 - 5.496067438219151e-17im
-195.72,1.460219092152751e-15 - 6.837626584348644e-17im
-195.7,1.470298503115189e-15 - 5.1228173471979124e-17im
-195.68,1.4624153064427182e-15 - 7.754048747955648e-17im
-195.66,1.4686279568893747e-15 - 5.3729954996802675e-17im
-195.64,1.482999208865281e-15 - 6.064698445098869e-17im
-195.62,1.4683626590175944e-15 - 3.7604711262301e-17im
-195.60000000000002,1.4833494096048164e-15 - 4.849165748268128e-17im
-195.57999999999998,1.4690793532919843e-15 - 3.21151007878251e-17im
-195.56,1.4873984103832949e-15 - 7.203309673206821e-17im
-195.54000000000002,1.4971847816873284e-15 - 3.895771310908103e-17im
-195.51999999999998,1.4946134556657554e-15 - 4.1033346035495136e-17im
-195.5,1.4779792455549662e-15 - 1.7237540237184463e-17im
-195.48000000000002,1.475255014689809e-15 - 2.3338553844745103e-17im
-195.46,1.499084244832699e-15 - 4.268361145310807e-17im
-195.44,1.4994680166987538e-15 - 4.033407818479832e-17im
-195.42000000000002,1.4928827917511651e-15 - 4.7708229847799544e-17im
-195.4,1.5210922466041366e-15 - 2.7224521825792916e-17im
-195.38,1.5156015326440063e-15 - 2.5446127569704067e-17im
-195.35999999999999,1.5274564179503733e-15 - 3.340760095379013e-17im
-195.33999999999997,1.5291391051394945e-15 - 3.5790228307314655e-17im
-195.32,1.5408223604205278e-15 - 1.9728284284355595e-17im
-195.3,1.5292291244062944e-15 - 1.0838782085827437e-17im
-195.27999999999997,1.5338960142448231e-15 - 1.995839642827894e-17im
-195.26,1.5397791392366086e-15 - 1.7384596082577523e-17im
-195.24,1.5477589393943222e-15 - 1.7875838539633132e-17im
