x,wave_1
-198.74,1.4725899656978894e-23
-198.72000000000003,1.486948047066252e-23
-198.7,1.5009411196481157e-23
-198.68,1.5145663825474608e-23
-198.66000000000003,1.5278211581835003e-23
-198.64000000000001,1.5407028938565266e-23
-198.62,1.5532091633148673e-23
-198.60000000000002,1.5653376683243763e-23
-198.57999999999998,1.577086240242007e-23
-198.56,1.5884528415950287e-23
-198.54,1.5994355676676892e-23
-198.51999999999998,1.6100326480971403e-23
-198.5,1.620242448480644e-23
-198.48000000000002,1.6300634719960838e-23
-198.45999999999998,1.6394943610381758e-23
-198.44,1.6485338988725896e-23
-198.42000000000002,1.6571810113106536e-23
-198.39999999999998,1.6654347684073043e-23
-198.38,1.6732943861851082e-23
-198.36,1.680759228387436e-23
-198.34,1.6878288082639958e-23
-198.32,1.6945027903921716e-23
-198.3,1.7007809925376532e-23
-198.28,1.7066633875583863e-23
-198.26,1.7121501053556334e-23
-198.24,1.7172414348766037e-23
-198.22000000000003,1.7219378261730384e-23
-198.20000000000002,1.7262398925204749e-23
-198.17999999999998,1.7301484126032296e-23
-198.16,1.7336643327702683e-23
-198.14,1.7367887693674444e-23
-198.12,1.7395230111519448e-23
-198.1,1.7418685217948128e-23
-198.07999999999998,1.743826942477964e-23
-198.06,1.7454000945921062e-23
-198.04000000000002,1.746589982542495e-23
-198.01999999999998,1.7473987966694008e-23
-198.0,1.747828916290744e-23
-197.98000000000002,1.7478829128742122e-23
-197.95999999999998,1.747563553346654e-23
-197.94,1.7468738035485386e-23
-197.92000000000002,1.7458168318413827e-23
-197.9,1.7443960128762097e-23
-197.88,1.742614931530988e-23
-197.86,1.7404773870249122e-23
-197.84,1.7379873972173608e-23
-197.82,1.7351492030987884e-23
-197.8,1.7319672734806867e-23
-197.77999999999997,1.728446309890845e-23
-197.76,1.724591251679602e-23
-197.74,1.7204072813415928e-23
-197.72,1.7158998300562976e-23
-197.7,1.7110745834490992e-23
-197.68,1.7059374875726312e-23
-197.66,1.7004947551058675e-23
-197.64,1.6947528717656753e-23
-197.62,1.6887186029222e-23
-197.60000000000002,1.6823990004057285e-23
-197.57999999999998,1.675801409488022e-23
-197.56,1.66893347601613e-23
